"variable","Elastic_Net","Random_Forest","XGBoost","Equal_weight_ensemble"
"cTfh.ICOSp",6.34,16.08,23.29,15.24
"nai_h3",4.77,6.75,17.18,9.56
"CD8.SP",7.49,6.35,12.82,8.88
"CD4.Effector",7.54,12.98,5.02,8.51
"NK.Activated",10.23,3.59,9.87,7.9
"CD4.IL2",3.07,10.52,7.15,6.92
"cTfh.CXCR3p",9.2,5.72,3.59,6.17
"CD8.Tcells",10.39,2.96,4.85,6.07
"CD8.Memory.CCR5p",9.37,5.02,1.47,5.28
"NK.CK.Producing",7.12,2.15,6.38,5.22
"CD4.Naive",6.39,4.71,4.54,5.21
"Gamma.Delta",6.52,3.34,0.67,3.51
"CD8.DP",2.45,6.32,0.28,3.01
"CD4.DP",4.67,4.09,0,2.92
"NK.GZBp.IFNp",1.82,3.89,2.89,2.87
"CD8.Effector",2.65,5.51,0,2.72
